🔍 Verificando videos antes del entrenamiento...
📂 Directorio de videos: /content/drive/MyDrive/LSB_TAD/data/videos
✅ Directorio encontrado
📹 Videos encontrados: 1448

📋 Verificando cada video:
  ✅ ABUELA.mp4: 121 frames, 600x480, 30.0 fps
  ✅ HIJA.mp4: 138 frames, 600x480, 30.0 fps
  ✅ HIJO.mp4: 129 frames, 600x480, 30.0 fps
  ✅ HERMANO.mp4: 103 frames, 600x480, 30.0 fps
  ✅ HERMANA.mp4: 124 frames, 600x480, 30.0 fps
  ✅ ALIMENTOS.mp4: 91 frames, 600x480, 30.0 fps
  ✅ LECHE.mp4: 76 frames, 600x480, 30.0 fps
  ✅ PAN.mp4: 75 frames, 600x480, 30.0 fps
  ✅ CARNE.mp4: 83 frames, 600x480, 30.0 fps
  ✅ FIDEO.mp4: 72 frames, 600x480, 30.0 fps
  ✅ SAL.mp4: 72 frames, 600x480, 30.0 fps
  ✅ QUESO.mp4: 67 frames, 600x480, 30.0 fps
  ✅ ACEITE.mp4: 87 frames, 600x480, 30.0 fps
  ✅ CAFÉ.mp4: 81 frames, 600x480, 30.0 fps
  ✅ AZÚCAR.mp4: 63 frames, 600x480, 30.0 fps
  ✅ GALLETAS.mp4: 74 frames, 600x480, 30.0 fps
  ✅ TÉ.mp4: 75 frames, 600x480, 30.0 fps
  ✅ ARROZ(OPCIÓN_B).mp4: 87 frames, 600x480, 30.0 fps
  ✅ ARROZ(OPCIÓN_A).mp4: 72 frames, 600x480, 30.0 fps
  ✅ COLORES.mp4: 91 frames, 600x480, 30.0 fps
  ✅ ROJO.mp4: 81 frames, 600x480, 30.0 fps
  ✅ AMARILLO.mp4: 88 frames, 600x480, 30.0 fps
  ✅ CAFÉ.mp4: 86 frames, 600x480, 30.0 fps
  ✅ AZUL.mp4: 91 frames, 600x480, 30.0 fps
  ✅ VERDE.mp4: 90 frames, 600x480, 30.0 fps
  ✅ BLANCO.mp4: 78 frames, 600x480, 30.0 fps
  ✅ ROSADO.mp4: 91 frames, 600x480, 30.0 fps
  ✅ NARANJA.mp4: 86 frames, 600x480, 30.0 fps
  ✅ NEGRO.mp4: 94 frames, 600x480, 30.0 fps
  ✅ LILA.mp4: 79 frames, 600x480, 30.0 fps
  ✅ CELESTE.mp4: 72 frames, 600x480, 30.0 fps
  ✅ CALENDARIO.mp4: 80 frames, 600x480, 30.0 fps
  ✅ ENERO.mp4: 94 frames, 600x480, 30.0 fps
  ✅ FEBRERO.mp4: 99 frames, 600x480, 30.0 fps
  ✅ MARZO.mp4: 98 frames, 600x480, 30.0 fps
  ✅ ABRIL.mp4: 83 frames, 600x480, 30.0 fps
  ✅ MAYO.mp4: 95 frames, 600x480, 30.0 fps
  ✅ JULIO.mp4: 106 frames, 600x480, 30.0 fps
  ✅ JUNIO.mp4: 97 frames, 600x480, 30.0 fps
  ✅ AGOSTO.mp4: 95 frames, 600x480, 30.0 fps
  ✅ OCTUBRE.mp4: 99 frames, 600x480, 30.0 fps
  ✅ SEPTIEMBRE.mp4: 90 frames, 600x480, 30.0 fps
  ✅ NOVIEMBRE.mp4: 97 frames, 600x480, 30.0 fps
  ✅ DICIEMBRE.mp4: 98 frames, 600x480, 30.0 fps
  ✅ CUERPO_HUMANO.mp4: 156 frames, 600x480, 30.0 fps
  ✅ CUELLO.mp4: 110 frames, 600x480, 30.0 fps
  ✅ CORAZÓN.mp4: 129 frames, 600x480, 30.0 fps
  ✅ MANOS.mp4: 99 frames, 600x480, 30.0 fps
  ✅ BRAZO.mp4: 123 frames, 600x480, 30.0 fps
  ✅ ESTÓMAGO.mp4: 97 frames, 600x480, 30.0 fps
  ✅ DEDOS.mp4: 90 frames, 600x480, 30.0 fps
  ✅ PIES.mp4: 80 frames, 600x480, 30.0 fps
  ✅ PULMONES.mp4: 134 frames, 600x480, 30.0 fps
  ✅ NARIZ.mp4: 60 frames, 600x480, 30.0 fps
  ✅ OJOS.mp4: 85 frames, 600x480, 30.0 fps
  ✅ PERRO.mp4: 57 frames, 600x480, 30.0 fps
  ✅ GATO.mp4: 66 frames, 600x480, 30.0 fps
  ✅ VACA.mp4: 72 frames, 600x480, 30.0 fps
  ✅ CÓNDOR.mp4: 81 frames, 600x480, 30.0 fps
  ✅ LORO.mp4: 90 frames, 600x480, 30.0 fps
  ✅ VIBORA.mp4: 80 frames, 600x480, 30.0 fps
  ✅ TORTUGA.mp4: 81 frames, 600x480, 30.0 fps
